canonical	footballdata	clubelo	fbref	oddsapi
Arsenal	Arsenal			
Aston Villa	Aston Villa			
Bournemouth	Bournemouth			
Brentford	Brentford			
Brighton	Brighton			
Burnley	Burnley			
Chelsea	Chelsea			
Crystal Palace	Crystal Palace			
Everton	Everton			
Fulham	Fulham			
Ipswich	Ipswich			
Leeds	Leeds			
Leicester	Leicester			
Liverpool	Liverpool			
Luton	Luton			
Man City	Man City			
Man United	Man United			
Newcastle	Newcastle			
Norwich	Norwich			
Nott'm Forest	Nott'm Forest			
Sheffield United	Sheffield United			
Southampton	Southampton			
Sunderland	Sunderland			
Tottenham	Tottenham			
Watford	Watford			
West Ham	West Ham			
Wolves	Wolves			
