team,matches,attack,attack_std,defence,defence_std,net
Man City,190,0.5074,0.0501,0.4485,0.0712,0.9560
Arsenal,190,0.3703,0.0527,0.4151,0.0695,0.7854
Liverpool,190,0.4349,0.0516,0.2889,0.0652,0.7238
Chelsea,190,0.1921,0.0565,0.1829,0.0614,0.3749
Newcastle,190,0.2118,0.0562,0.1048,0.0592,0.3166
Tottenham,190,0.2350,0.0558,0.0139,0.0568,0.2488
Aston Villa,190,0.1321,0.0579,0.1034,0.0590,0.2355
Man United,190,0.1059,0.0585,0.1012,0.0589,0.2071
Brighton,190,0.1150,0.0583,0.0914,0.0587,0.2064
Brentford,190,0.1038,0.0586,0.0499,0.0576,0.1537
Fulham,152,0.0416,0.0662,0.0687,0.0636,0.1103
Crystal Palace,190,-0.0579,0.0624,0.1301,0.0596,0.0723
Sunderland,38,-0.1124,0.1239,0.1497,0.1149,0.0373
Bournemouth,152,0.0294,0.0667,-0.0064,0.0615,0.0230
Nott'm Forest,152,-0.0373,0.0684,0.0217,0.0621,-0.0156
West Ham,190,0.0045,0.0610,-0.0416,0.0551,-0.0371
Everton,190,-0.1942,0.0659,0.0927,0.0583,-0.1015
Leicester,114,-0.0336,0.0770,-0.1498,0.0657,-0.1834
Wolves,190,-0.2168,0.4307,-0.0197,0.3730,-0.2366
Leeds,114,-0.0651,0.0784,-0.1748,0.0650,-0.2399
Luton,38,0.0211,0.1171,-0.2860,0.0990,-0.2649
Burnley,114,-0.2533,0.0845,-0.1375,0.0658,-0.3909
Ipswich,38,-0.2185,0.1293,-0.2523,0.0997,-0.4707
Watford,38,-0.2826,0.1315,-0.2266,0.1018,-0.5092
Southampton,114,-0.3116,0.0870,-0.2199,0.0636,-0.5316
Sheffield United,38,-0.2388,0.1304,-0.4531,0.0944,-0.6919
Norwich,38,-0.4830,0.1485,-0.2950,0.0998,-0.7781
